slctn_nmbr,client_id,npo_account_id,npo_accnts_nmbr,pmnts_type,year,quarter,gender,age,clnt_cprtn_time_d,actv_prd_d,lst_pmnt_rcnc_d,balance,oprtn_sum_per_qrtr,oprtn_sum_per_year,frst_pmnt_date,lst_pmnt_date_per_qrtr,frst_pmnt,lst_pmnt,pmnts_sum,pmnts_nmbr,pmnts_sum_per_qrtr,pmnts_sum_per_year,pmnts_nmbr_per_qrtr,pmnts_nmbr_per_year,incm_sum,incm_per_qrtr,incm_per_year,mgd_accum_period,mgd_payment_period,phone_number,email,lk,assignee_npo,assignee_ops,postal_code,region,citizen,fact_addrss,appl_mrkr,evry_qrtr_pmnt,churn
2,0xDD98E432F3F7B64B8ECCFFF8A87E872A,0x22A65B5A2B9FB8458BFC9484DD5BC553,1,2,2015,2015Q4,1,43,4307,837,2816,13849.82,532.68,532.68,2005-12-31,,3991.18,105.69,6950.53,29,-0.0,-0.0,0,0,5646.97,532.68,532.68,4.0,4.0,-1,-1,-1,-1,-1,162601.0,ВОЛОГОДСКАЯ ОБЛ,1,1,0,0,0
1,0xBEC013D18387654C862C33CCE415B31F,0xA60EBD8C231F3C48AF267C3227E9A159,1,2,2000,2000Q1,-1,33,1069,0,1069,82.59,4.15,14.86,1997-04-27,,40.65,0.04,40.65,1,-0.0,-0.0,0,0,41.94,4.15,14.86,7.5,7.5,0,0,-1,-1,-1,393250.0,ТАМБОВСКАЯ ОБЛ,1,-1,0,0,0
0,0xCC263A672972E0488BF0605D26E2D177,0x3FF8CC590DBD864FB0CFB680ECF741DF,3,3,2008,2008Q2,1,32,1295,1270,30,11563.96,731.71,-10100.54,2004-12-13,2008-06-05,487.8,243.9,10731.7,43,731.7,2682.92,3,11,832.25,-0.0,-0.0,0.0,0.0,-1,0,-1,-1,-1,606103.0,НИЖЕГОРОДСКАЯ ОБЛ,1,1,0,1,0
2,0xD5C3CE029DD0354A92441AEFCEF88F68,0x6B27D1316CE1B1418CDDD88E96D0A12E,1,2,2017,2017Q4,-1,31,4098,94,4004,523.68,0.46,0.46,2006-10-12,,34.96,105.69,378.86,4,-0.0,-0.0,0,0,144.82,0.45,0.45,0.1,0.1,-1,-1,-1,-1,-1,162572.0,ВОЛОГОДСКАЯ ОБЛ,-1,-1,0,0,0
1,0xDE4F0915FEC27046B0CC36FAD25B2AF3,0xFB31A82052A83A479F6E97614CA736CD,1,2,1998,1998Q2,-1,27,140,133,58,86.99,12.2,103.25,1998-02-10,1998-06-23,34.14,0.09,86.99,5,12.19,103.25,3,9,-0.0,-0.0,-0.0,7.5,7.5,0,0,-1,-1,-1,196158.0,САНКТ-ПЕТЕРБУРГ Г,-1,-1,0,0,0
1,0xF1496161CE8A5D41854B03FC8DC50B12,0x8B7DDB9D8F236A4F8B262F89FC042291,1,2,2001,2001Q2,1,54,1231,105,1126,117.37,4.73,18.06,1998-02-15,,40.65,0.04,60.97,2,-0.0,-0.0,0,0,56.39,4.73,18.06,7.5,7.5,0,0,-1,-1,-1,396934.0,ВОРОНЕЖСКАЯ ОБЛ,-1,-1,0,0,0
0,0x0175BF8B90052A4583B89AFE91EAC26F,0xDED2825D4D1E5749BC2061F5D8A06546,2,3,2017,2017Q4,1,50,1057,1050,32,82571.3,8843.13,29465.58,2015-02-08,2017-12-24,1901.17,2394.83,75277.77,36,5477.38,26099.83,3,13,7293.52,3365.74,3365.74,0.0,0.0,-1,0,1,-1,-1,443033.0,САМАРСКАЯ ОБЛ,1,1,0,1,0
1,0x83DA8CE30DAE264883B14858D3729785,0x9F289083DC8D6849A78A1636BE1FC442,1,2,2005,2005Q2,-1,49,928,186,735,111.24,7.24,14.25,2002-12-22,,19.51,19.51,97.56,5,-0.0,-0.0,0,0,13.67,7.23,14.25,6.0,6.0,0,0,-1,-1,-1,191144.0,САНКТ-ПЕТЕРБУРГ Г,-1,-1,0,0,0
0,0x216EA62D8936F9488A5F77F728616E2F,0x986B0EF798CBC74F9C3BAAA73E0E579B,2,1,2007,2007Q1,-1,43,24,0,0,168.98,168.98,1608.65,2007-03-08,2007-03-08,168.97,331.7,168.97,1,168.97,1608.65,1,10,-0.0,-0.0,-0.0,0.0,0.0,-1,0,-1,-1,-1,398043.0,ЛИПЕЦКАЯ ОБЛ,1,1,0,1,0
0,0xF8BE24FA515FC546AC41944134FBB5A2,0x6CAC8821854CBF4D9719442B5F944C03,1,1,2011,2011Q2,-1,42,2329,2305,91,42057.58,1626.02,7858.38,2005-02-13,2011-06-07,406.5,406.5,32113.82,47,1626.01,4878.04,1,4,9943.76,-0.0,2980.33,4.0,4.0,-1,0,-1,-1,-1,620102.0,СВЕРДЛОВСКАЯ ОБЛ,1,1,0,1,0
